Lon,Lat,OBJECTID,MAR_WARD,ADDRESS,PROJECT_NAME,STATUS_PUBLIC,AGENCY_CALCULATED,TOTAL_AFFORDABLE_UNITS,LATITUDE,LONGITUDE,AFFORDABLE_UNITS_AT_0_30_AMI,AFFORDABLE_UNITS_AT_31_50_AMI,AFFORDABLE_UNITS_AT_51_60_AMI,AFFORDABLE_UNITS_AT_61_80_AMI,AFFORDABLE_UNITS_AT_81_AMI,CASE_ID,ADDRESS_ID,XCOORD,YCOORD,FULLADDRESS,GIS_LAST_MOD_DTTM
-76.96618727,38.92076679,1076,Ward 5,"30th Pl NE, Washington, District of Columbia 20018",30th Place Crescent Townhomes Phase I,Completed 2015 to Date,DHCD,5,38.920759,-76.966185,0,0,0,5,0,,,402932.3901,139210.2643,,2019-05-20T04:00:25.000Z
-77.0245449,38.93118485,1077,Ward 1,"713 Lamont Street Northwest, Washington, District of Columbia 20010",713 Lamont St NW,Under Construction,DHCD,15,38.931177,-77.024543,0,8,0,7,0,,243179,397872.01,140366.5,713 LAMONT STREET NW,2019-05-20T04:00:25.000Z
-77.03696621,38.90408064,1078,Ward 2,"1108 16th Street Northwest, Washington, District of Columbia 20036",The Adele,Completed 2015 to Date,DHCD,1,38.904073,-77.036964,0,0,0,1,0,,276209,396793.79,137358.07,1108 16TH STREET NW,2019-05-20T04:00:25.000Z
-76.98956179,38.90228444,1079,Ward 6,"1219 K Street Northeast, Washington, District of Columbia 20002",The Havana,Under Construction,DHCD,4,38.902264,-76.989434,0,2,0,2,0,,312998,400905.62,137158.08,1219 K STREET NE,2019-05-20T04:00:25.000Z
-76.98384988,38.85982995,1080,Ward 8,"2200 Hunter Place Southeast, Washington, District of Columbia 20020","2200-2210 Hunter Place, SE",Pipeline,DHCD,10,38.859494,-76.984173,0,2,0,8,0,,286706,401401.91,132445.38,2200 HUNTER PLACE SE,2019-05-20T04:00:25.000Z
-76.97833615,38.86522591,1081,Ward 8,"1847 Good Hope Road Southeast, Washington, District of Columbia 20020",1847-9 Good Hope Rd SE Renovation TOPA,Completed 2015 to Date,DHCD,18,38.865218,-76.978334,11,4,2,1,0,,150176,401880.32,133044.47,1847 GOOD HOPE ROAD SE,2019-05-20T04:00:25.000Z
-76.99462063,38.82736081,1082,Ward 8,"800 Southern Avenue Southeast, Washington, District of Columbia 20032",Park Southern Apartments,Completed 2015 to Date,DHCD,361,38.827353,-76.994618,0,0,292,69,0,,79579,400467.3,128840.97,800 SOUTHERN AVENUE SE,2019-05-20T04:00:25.000Z
-76.9880746,38.88368859,1085,Ward 6,"404 13th Street Southeast, Washington, District of Columbia 20003",Buchanan Park Townhomes,Completed 2015 to Date,DHCD,3,38.883744,-76.98807,0,2,0,1,0,,314042,401034.89,135093.81,404 13TH STREET SE,2019-05-20T04:00:25.000Z
-77.02351029,38.9406138,1086,Ward 4,"4040 8th Street Northwest, Washington, District of Columbia 20011",4040 8th St NW TOPA,Completed 2015 to Date,DHCD,19,38.940606,-77.023508,4,6,0,9,0,,,397961.986,141413.1722,,2019-05-20T04:00:25.000Z
-77.02736479,38.97209872,1087,Ward 4,"6676 Georgia Ave NW, Washington, District of Columbia 20012",Takoma Place TOPA,Completed 2015 to Date,DHCD,105,38.972091,-77.027362,0,0,105,0,0,,253375,397628.87,144908.38,6676 GEORGIA AVENUE NW,2019-05-20T04:00:25.000Z
-77.03563193,38.93767815,1089,Ward 4,"1445 Spring Road Northwest, Washington, District of Columbia 20010",HOPE Cooperative,Completed 2015 to Date,DHCD,19,38.937671,-77.03563,6,9,0,4,0,,259017,396910.98,141087.63,1445 SPRING ROAD NW,2019-05-20T04:00:25.000Z
-76.95592388,38.88544959,1090,Ward 7,"3501 Minnesota Ave SE, Washington, District of Columbia 20019","Residence at Minnesota Gardens Cooperative, Inc",Completed 2015 to Date,DHCD,48,38.885442,-76.955922,0,36,0,12,0,,150719,403824.31,135290.15,3501 MINNESOTA AVENUE SE,2019-05-20T04:00:25.000Z
-77.01137983,38.95579075,1091,Ward 4,"53 Missouri Avenue Northwest, Washington, District of Columbia 20011",49-53 Missouri Ave NW,Under Construction,DHCD,10,38.955783,-77.011378,4,4,0,2,0,,259338,399013.84,143097.75,53 MISSOURI AVENUE NW,2019-05-20T04:00:25.000Z
-77.02694488,38.98100876,1092,Ward 4,"7440 Georgia Avenue Northwest, Washington, District of Columbia 20012",7440 Georgia Ave NW TOPA,Under Construction,DHCD,21,38.981001,-77.026943,0,10,8,3,0,,253506,397665.55,145897.47,7440 GEORGIA AVENUE NW,2019-05-20T04:00:25.000Z
-77.02168268,38.95728935,1093,Ward 4,"614 Longfellow Street Northwest, Washington, District of Columbia 20011",The Kingston,Completed 2015 to Date,DHCD,23,38.957282,-77.02168,0,15,0,8,0,,246730,398120.87,143264.27,614 LONGFELLOW STREET NW,2019-05-20T04:00:25.000Z
-76.97132745,38.85426412,1094,Ward 8,"2412 Hartford Street Southeast, Washington, District of Columbia 20020",Hanover Court TOPA,Completed 2015 to Date,DHCD,82,38.854257,-76.971325,9,41,32,0,0,,148200,402488.96,131827.8,2412 HARTFORD STREET SE,2019-05-20T04:00:25.000Z
-77.02318329,38.91424279,1095,Ward 1,"801 T Street Northwest, Washington, District of Columbia 20001","8th and T Street, NW",Under Construction,DHCD,4,38.914235,-77.023181,0,0,4,0,0,,,397989.5918,138485.7579,,2019-05-20T04:00:25.000Z
-77.0347276,38.93427337,1108,Ward 1,"1456 Oak Street Northwest, Washington, District of Columbia 20010",Oak Street Apartments,Completed 2015 to Date,DCHA,51,38.934266,-77.034725,51,0,0,0,0,,234605,396989.24,140709.64,1456 OAK STREET NW,2019-05-20T04:00:25.000Z
-76.99068871,38.92515887,1166,Ward 5,"2724 12th Street Northeast, Washington, District of Columbia 20018",Brooks Row,Completed 2015 to Date,DHCD,2,38.925151,-76.990686,0,1,0,1,0,,45068,400807.61,139697.32,2724 12TH STREET NE,2019-05-20T04:00:25.000Z
-77.01561594,38.8767598,1167,Ward 6,"301 M Street Southwest, Washington, District of Columbia 20024",301 M,Completed 2015 to Date,DHCD OP,15,38.876752,-77.015614,0,0,0,15,0,12-14/12-14A,312585,398645.17,134324.71,301 M STREET SW,2019-05-20T04:00:25.000Z
-76.99963622,38.90888226,1168,Ward 5,"1270 4th Street Northeast, Washington, District of Columbia 20002",Union Market Apartments,Under Construction,DHCD OP,38,38.908969,-76.99956,0,11,0,27,0,14-07,286000,400031.75,137890.44,1270 4TH STREET NE,2019-05-20T04:00:25.000Z
-77.03489755,38.92214147,1169,Ward 6,"1277 First Street Southeast, Washington, District of Columbia 20003",F1rst (Ballpark Square),Completed 2015 to Date,DHCD,50,38.875153,-77.006155,0,0,0,50,0,,234198,396973.99,139362.9,2407 15TH STREET NW,2019-05-20T04:00:25.000Z
-77.00309918,38.90175202,1170,Ward 6,"911 2nd Street Northeast, Washington, District of Columbia 20002",Pullman Place,Completed 2015 to Date,DHCD,3,38.901772,-77.003305,0,2,0,1,0,,289062,399731.37,137098.93,911 2ND STREET NE,2019-05-20T04:00:25.000Z
-76.97697384,38.89876487,1172,Ward 6,"1827 Benning Road Northeast, Washington, District of Columbia 20002",Tourus,Completed 2015 to Date,DHCD,2,38.898793,-76.976913,0,1,0,1,0,,311591,401997.61,136767.58,1827 BENNING ROAD NE,2019-05-20T04:00:25.000Z
-77.07937942,38.94948874,1173,Ward 3,"4000 Brandywine Street Northwest, Washington, District of Columbia 20016",The Frequency,Completed 2015 to Date,DHCD,2,38.949481,-77.079377,0,1,0,1,0,,265176,393119.3,142401.1,4000 BRANDYWINE STREET NW,2019-05-20T04:00:25.000Z
-77.02078636,38.95619907,1174,Ward 4,"528 Kennedy Street Northwest, Washington, District of Columbia 20011",528 Kennedy St NW,Completed 2015 to Date,DHCD,1,38.956192,-77.020784,0,1,0,0,0,,246774,398198.53,143143.22,528 KENNEDY STREET NW,2019-05-20T04:00:25.000Z
-76.99879029,38.9481368,1175,Ward 5,"4815 6th St NE, Washington, District of Columbia 20017",Totten Mews,Completed 2015 to Date,DHCD OP,5,38.948129,-76.998788,0,2,0,3,0,15-04,,400105.0626,142248.0306,,2019-05-20T04:00:25.000Z
-76.99659418,38.90038986,1176,Ward 6,"646 H Street Northeast, Washington, District of Columbia 20002",646 H St NE,Under Construction,DHCD,2,38.900382,-76.996592,0,0,0,2,0,,1685,400295.63,136947.72,646 H STREET NE,2019-05-20T04:00:25.000Z
-77.04219968,38.92346337,1177,Ward 1,"1777 Columbia Road Northwest, Washington, District of Columbia 20009",1777 Columbia Rd NW,Completed 2015 to Date,DHCD,6,38.923456,-77.042197,0,0,0,6,0,,242839,396340.84,139509.91,1777 COLUMBIA ROAD NW,2019-05-20T04:00:25.000Z
-77.00126451,38.89999597,1178,Ward 6,"315 H Street Northeast, Washington, District of Columbia 20002",315 H St NE,Completed 2015 to Date,DHCD OP,9,38.899953,-77.001409,0,1,1,7,0,15-07,39407,399890.51,136903.99,315 H STREET NE,2019-05-20T04:00:25.000Z
-77.02192129,38.87887078,1179,Ward 6,"680 I Street Southwest, Washington, District of Columbia 20024",Riverside Baptist Church Development (The Banks),Completed 2015 to Date,DHCD OP,21,38.878863,-77.021919,0,9,0,12,0,15-05,,398098.0979,134559.1578,,2019-05-20T04:00:25.000Z
-77.00037854,38.8743256,1180,Ward 6,"1346 4th Street Southeast, Washington, District of Columbia 20003",The Yards Parcel O-2,Completed 2015 to Date,DCHFA,39,38.874318,-77.000376,0,39,0,0,0,,313293,399967.35,134054.38,1346 4TH STREET SE,2019-05-20T04:00:25.000Z
-77.01932755,38.87822923,1182,Ward 6,"480 K Street Southwest, Washington, District of Columbia 20024",The View at the Waterfront North,Under Construction,DHCD,5,38.878222,-77.019325,0,0,0,5,0,,306773,398323.14,134487.89,480 K STREET SW,2019-05-20T04:00:25.000Z
-77.01937348,38.87674005,1183,Ward 6,"465 M Street Southwest, Washington, District of Columbia 20024",The View at the Waterfront South,Completed 2015 to Date,DHCD OP,4,38.876698,-77.019234,0,0,0,4,0,02-38D,306776,398319.12,134322.58,465 M STREET SW,2019-05-20T04:00:25.000Z
-76.99167433,38.84058469,1184,Ward 8,"3400-3429 10 PL SE, Washington, District of Columbia 20032",Archer Park (Brownstein Commons) (IZ),Completed 2015 to Date,DHCD,8,38.839667,-76.992082,0,4,0,4,0,,312793,400723,130308.93,3400 10TH PLACE SE,2019-05-20T04:00:25.000Z
-77.0553518,38.90029104,1185,Ward 2,"2601 Virginia Avenue Northwest, Washington, District of Columbia 20037",Boathouse,Under Construction,DHCD,22,38.900284,-77.05535,0,0,0,22,0,16-25,273875,395198.79,136938.2,2601 VIRGINIA AVENUE NW,2019-05-20T04:00:25.000Z
-76.99064735,38.93014479,1186,Ward 5,"3221 12th Street Northeast, Washington, District of Columbia 20017",Jackson Place Flats,Completed 2015 to Date,DHCD,3,38.930137,-76.990645,0,2,0,1,0,,38175,400811.14,140250.8,3221 12TH STREET NE,2019-05-20T04:00:25.000Z
-77.03240599,38.96476967,1187,Ward 4,"1339 Fort Stevens Drive Northwest, Washington, District of Columbia 20011",Fort Stevens Place Apartments,Completed 2015 to Date,DHCD,59,38.964762,-77.032404,7,0,52,0,0,,259562,397191.73,144094.93,1339 FORT STEVENS DRIVE NW,2019-05-20T04:00:25.000Z
-76.92157037,38.902044,1188,Ward 7,"908-914 Eastern Avenue Northeast, Washington, District of Columbia 20019",Hilltop Apartments (Acquisition),Completed 2015 to Date,DHCD,96,38.901492,-76.922282,0,0,72,24,0,,151205,406803.29,137134.26,908 EASTERN AVENUE NE,2019-05-20T04:00:25.000Z
-77.02760551,38.90447707,1189,Ward 2,"1111 Massachusetts Avenue Northwest, Washington, District of Columbia 20005",Mass Place,Completed 2015 to Date,DCHFA DHCD,160,38.90447,-77.027603,0,0,160,0,0,,239117,397605.74,137401.79,1111 MASSACHUSETTS AVENUE NW,2019-05-20T04:00:25.000Z
-76.95333899,38.88542561,1190,Ward 7,"305 37th Street Southeast, Washington, District of Columbia 20019",WDC1 - TOPA,Completed 2015 to Date,DHCD,202,38.885418,-76.953337,0,101,101,0,0,,41307,404048.58,135287.6,305 37TH STREET SE,2019-05-20T04:00:25.000Z
-77.02389365,38.93506098,1192,Ward 1,"3619 Georgia Avenue Northwest, Washington, District of Columbia 20010",3619 Georgia Ave NW,Under Construction,DHCD,2,38.93503,-77.023804,0,0,0,2,0,,228589,397928.59,140796.77,3619 GEORGIA AVENUE NW,2019-05-20T04:00:25.000Z
-77.00744886,38.91041308,1193,Ward 5,"50 Florida Avenue Northeast, Washington, District of Columbia 20002",The Lexicon,Under Construction,DHCD OP,16,38.910373,-77.007509,0,0,0,16,0,2-Dec,302309,399354.15,138060.4,50 FLORIDA AVENUE NE,2019-05-20T04:00:25.000Z
-77.00869033,38.87489245,1194,Ward 6,"1244 South Capitol Street Southeast, Washington, District of Columbia 20003",1244 South Capitol St SE,Completed 2015 to Date,DHCD,23,38.874885,-77.008688,0,0,0,23,0,14-15,277927,399246.1,134117.34,1244 SOUTH CAPITOL STREET SE,2019-05-20T04:00:25.000Z
-77.02623954,38.977425,1195,Ward 4,"7201 Georgia Avenue Northwest, Washington, District of Columbia 20012",Georgia Row at Walter Reed,Completed 2015 to Date,DHCD,6,38.977417,-77.026237,0,3,0,3,0,,308916,397726.55,145499.62,7201 GEORGIA AVENUE NW,2019-05-20T04:00:25.000Z
-77.02735478,38.91205585,1196,Ward 2,"1628 11th Street Northwest, Washington, District of Columbia 20001",1628 11th St NW,Completed 2015 to Date,DHCD,2,38.912048,-77.027352,0,1,0,1,0,,218383,397627.74,138243.09,1628 11TH STREET NW,2019-05-20T04:00:25.000Z
-76.98873283,38.8544406,1197,Ward 8,"2461 Elvans Road Southeast, Washington, District of Columbia 20020",Elvans Rd Townhomes,Under Construction,DCHFA,5,38.854351,-76.988755,0,0,0,0,5,,313735,400978.18,131847.06,2461 ELVANS ROAD SE,2019-05-20T04:00:25.000Z
-76.99206718,38.85663803,1198,Ward 8,"2850 Douglass Place, Washington, District of Columbia 20020",City View,Under Construction,DHCD,52,38.85663,-76.992065,6,32,14,0,0,,313881,400688.74,132090.96,2850 DOUGLAS PLACE SE,2019-05-20T04:00:25.000Z
-76.98037964,38.9051835,1199,Ward 5,"1164 Bladensburg Road Northeast, Washington, District of Columbia 20002",1164 Bladensburg Road NE,Under Construction,DCHA DHCD,65,38.905274,-76.980422,14,51,0,0,0,,155908,401702.02,137480.03,1164 BLADENSBURG ROAD NE,2019-05-20T04:00:25.000Z
-77.02885225,38.97658941,1200,Ward 4,"6900 Georgia Avenue Northwest, Washington, District of Columbia 20012",Abrams Hall,Under Construction,DHCD,80,38.976582,-77.02885,16,64,0,0,0,,292768,397500.13,145406.93,6900 GEORGIA AVENUE NW,2019-05-20T04:00:25.000Z
-77.02675499,38.94525703,1201,Ward 4,"4506 Georgia Avenue Northwest, Washington, District of Columbia 20011",Partner Arms 2,Completed 2015 to Date,DCHFA DHCD,12,38.94525,-77.026753,12,0,0,0,0,,252736,397680.84,141928.69,4506 GEORGIA AVENUE NW,2019-05-20T04:00:25.000Z
-76.96596641,38.92422372,1202,Ward 5,"2619 Bladensburg Road Northeast, Washington, District of Columbia 20018",Dianes House,Under Construction,DHCD,42,38.924216,-76.965964,39,3,0,0,0,,45760,402951.4,139594.02,2619 BLADENSBURG ROAD NE,2019-05-20T04:00:25.000Z
-77.0014656,38.90786629,1203,Ward 5,"320 Florida Avenue Northeast, Washington, District of Columbia 20002",The Highline at Union Market,Under Construction,DHCD OP,27,38.907859,-77.001463,0,7,0,20,0,15-01,287746,399873.08,137777.66,320 FLORIDA AVENUE NE,2019-05-20T04:00:25.000Z
-77.02493534,38.92108419,1204,Ward 1,"2323 Sherman Avenue Northwest, Washington, District of Columbia 20001",Sherman Avenue Apartments,Completed 2015 to Date,DHCD OP,27,38.921219,-77.024991,0,0,4,23,0,14-21,232313,397837.85,139245.25,2323 SHERMAN AVENUE NW,2019-05-20T04:00:25.000Z
-76.99908909,38.89427341,1205,Ward 6,"504 C St NE, Washington, District of Columbia 20002",504 C St NE,Completed 2015 to Date,DHCD,1,38.894266,-76.999087,0,0,0,1,0,,14477,400079.22,136268.74,504 C STREET NE,2019-05-20T04:00:25.000Z
-77.00179628,38.90738779,1206,Ward 6,"301 Florida Ave NE, Washington, District of Columbia 20002",301 Florida Ave NE,Under Construction,DHCD OP,4,38.90738,-77.001794,0,2,0,2,0,15-22,,399844.3976,137724.5427,,2019-05-20T04:00:25.000Z
